user_id,name,age,location,instrument,genres,skill_level,experience_years,purpose,frequency,available_days,communication_style,bio
19,Haru19,24,Kobe,guitar,citypop,beginner,10,hobby,monthly,"saturday,weekday_night",in_person_mainly,Kobe周辺でcitypop系の音楽を一緒にできるメンバーを探しています。担当はguitarです。
20,Mio20,20,Tokyo,vocal,"funk,blues,rock",advanced,7,professional,monthly,flexible,in_person_mainly,monthlyくらいのペースで無理なく活動したいです。funk、blues、rockが好きな方とつながりたいです。
21,Kou21,24,Nagoya,sax,"funk,metal",intermediate,4,original_band,twice_or_more_weekly,"weekday_night,flexible",voice_call_ok,Nagoya周辺でfunk、metal系の音楽を一緒にできるメンバーを探しています。担当はsaxです。
22,Yuki22,35,Kyoto,keyboard,"jazz,anime",beginner,7,original_band,weekly,flexible,in_person_mainly,weeklyくらいのペースで無理なく活動したいです。jazz、animeが好きな方とつながりたいです。
23,Saki23,43,Nagoya,keyboard,citypop,intermediate,3,live_performance,weekly,weekday_night,in_person_mainly,keyboardとして活動しています。citypopが好きで、live_performance目的の活動に興味があります。
24,Kou24,27,Tokyo,guitar,"anime,funk,citypop",advanced,8,professional,twice_or_more_weekly,"weekday_night,flexible",in_person_mainly,Tokyoでバンド活動をしたいです。guitar担当で、anime、funk、citypopを中心に演奏しています。
25,Kou25,19,Osaka,bass,metal,beginner,14,professional,twice_or_more_weekly,weekday_night,chat_mainly,bassとして活動しています。metalが好きで、professional目的の活動に興味があります。
26,Noa26,19,Fukuoka,bass,"citypop,jazz,funk",beginner,1,original_band,weekly,sunday,chat_mainly,bassとして活動しています。citypop、jazz、funkが好きで、original_band目的の活動に興味があります。
27,Sora27,29,Fukuoka,keyboard,"jazz,funk",beginner,5,cover_band,monthly,sunday,voice_call_ok,keyboardとして活動しています。jazz、funkが好きで、cover_band目的の活動に興味があります。
28,Kou28,23,Fukuoka,sax,blues,beginner,15,live_performance,biweekly,"sunday,saturday",chat_mainly,saxとして活動しています。bluesが好きで、live_performance目的の活動に興味があります。
29,Aki29,39,Kyoto,drums,"metal,pop",intermediate,11,professional,twice_or_more_weekly,"weekday_night,flexible",voice_call_ok,drumsとして活動しています。metal、popが好きで、professional目的の活動に興味があります。
30,Kenta30,26,Osaka,vocal,"blues,anime,folk",intermediate,13,professional,monthly,"saturday,flexible",chat_mainly,Osakaでバンド活動をしたいです。vocal担当で、blues、anime、folkを中心に演奏しています。
31,Aki31,34,Fukuoka,keyboard,"funk,anime,citypop",beginner,10,professional,weekly,sunday,in_person_mainly,weeklyくらいのペースで無理なく活動したいです。funk、anime、citypopが好きな方とつながりたいです。
32,Mei32,28,Nara,sax,"citypop,jazz",beginner,13,cover_band,biweekly,"flexible,sunday",chat_mainly,biweeklyくらいのペースで無理なく活動したいです。citypop、jazzが好きな方とつながりたいです。
33,Rina33,24,Nara,violin,"anime,folk,funk",intermediate,6,professional,twice_or_more_weekly,weekday_night,voice_call_ok,twice_or_more_weeklyくらいのペースで無理なく活動したいです。anime、folk、funkが好きな方とつながりたいです。
34,Yuki34,44,Fukuoka,guitar,"metal,funk,blues",beginner,4,hobby,monthly,flexible,in_person_mainly,Fukuoka周辺でmetal、funk、blues系の音楽を一緒にできるメンバーを探しています。担当はguitarです。
35,Daichi35,31,Nagoya,keyboard,blues,intermediate,12,live_performance,biweekly,weekday_night,voice_call_ok,keyboardとして活動しています。bluesが好きで、live_performance目的の活動に興味があります。
36,Mio36,43,Nagoya,keyboard,"rock,funk",beginner,14,live_performance,twice_or_more_weekly,"flexible,sunday",in_person_mainly,Nagoyaでバンド活動をしたいです。keyboard担当で、rock、funkを中心に演奏しています。
37,Noa37,32,Kyoto,sax,"folk,metal",beginner,20,original_band,twice_or_more_weekly,sunday,voice_call_ok,Kyoto周辺でfolk、metal系の音楽を一緒にできるメンバーを探しています。担当はsaxです。
38,Rina38,25,Kobe,bass,"citypop,pop",beginner,4,live_performance,twice_or_more_weekly,saturday,chat_mainly,Kobeでバンド活動をしたいです。bass担当で、citypop、popを中心に演奏しています。
39,Mei39,28,Tokyo,drums,"rock,funk",intermediate,12,professional,monthly,"flexible,weekday_night",voice_call_ok,monthlyくらいのペースで無理なく活動したいです。rock、funkが好きな方とつながりたいです。
40,Shun40,45,Fukuoka,drums,"citypop,funk,folk",beginner,8,cover_band,twice_or_more_weekly,flexible,voice_call_ok,Fukuokaでバンド活動をしたいです。drums担当で、citypop、funk、folkを中心に演奏しています。
41,Mio41,44,Nara,guitar,"citypop,rock,funk",advanced,18,hobby,monthly,"saturday,flexible",chat_mainly,Nara周辺でcitypop、rock、funk系の音楽を一緒にできるメンバーを探しています。担当はguitarです。
42,Kou42,30,Kobe,guitar,"anime,citypop",intermediate,8,cover_band,weekly,flexible,chat_mainly,Kobe周辺でanime、citypop系の音楽を一緒にできるメンバーを探しています。担当はguitarです。
43,Aya43,25,Nagoya,vocal,"rock,citypop,pop",beginner,0,professional,biweekly,saturday,voice_call_ok,Nagoya周辺でrock、citypop、pop系の音楽を一緒にできるメンバーを探しています。担当はvocalです。
44,Kenta44,24,Nara,sax,"anime,jazz",advanced,19,hobby,biweekly,"weekday_night,sunday",chat_mainly,biweeklyくらいのペースで無理なく活動したいです。anime、jazzが好きな方とつながりたいです。
45,Kenta45,39,Nara,drums,"funk,pop,metal",advanced,20,live_performance,monthly,"weekday_night,sunday",chat_mainly,monthlyくらいのペースで無理なく活動したいです。funk、pop、metalが好きな方とつながりたいです。
46,Noa46,31,Nagoya,bass,citypop,advanced,10,hobby,twice_or_more_weekly,"weekday_night,saturday",voice_call_ok,Nagoyaでバンド活動をしたいです。bass担当で、citypopを中心に演奏しています。
47,Haru47,31,Kyoto,sax,"metal,folk,funk",intermediate,18,original_band,weekly,weekday_night,voice_call_ok,Kyotoでバンド活動をしたいです。sax担当で、metal、folk、funkを中心に演奏しています。
48,Nao48,42,Nara,keyboard,"blues,anime,rock",intermediate,10,live_performance,twice_or_more_weekly,sunday,voice_call_ok,twice_or_more_weeklyくらいのペースで無理なく活動したいです。blues、anime、rockが好きな方とつながりたいです。
49,Kou49,37,Nagoya,bass,"rock,funk,citypop",beginner,13,cover_band,biweekly,"flexible,saturday",chat_mainly,Nagoya周辺でrock、funk、citypop系の音楽を一緒にできるメンバーを探しています。担当はbassです。
50,Rina50,25,Nara,sax,metal,advanced,18,original_band,twice_or_more_weekly,"flexible,sunday",in_person_mainly,twice_or_more_weeklyくらいのペースで無理なく活動したいです。metalが好きな方とつながりたいです。
51,Aya51,40,Nara,bass,"metal,funk",beginner,6,original_band,monthly,saturday,chat_mainly,Naraでバンド活動をしたいです。bass担当で、metal、funkを中心に演奏しています。
52,Kou52,41,Tokyo,violin,"metal,pop,blues",beginner,9,live_performance,weekly,sunday,chat_mainly,violinとして活動しています。metal、pop、bluesが好きで、live_performance目的の活動に興味があります。
53,Kou53,19,Osaka,keyboard,"jazz,folk",beginner,0,professional,weekly,"flexible,saturday",voice_call_ok,keyboardとして活動しています。jazz、folkが好きで、professional目的の活動に興味があります。
54,Ryo54,26,Fukuoka,drums,pop,intermediate,15,hobby,monthly,saturday,in_person_mainly,monthlyくらいのペースで無理なく活動したいです。popが好きな方とつながりたいです。
55,Yuki55,25,Osaka,keyboard,"funk,blues",intermediate,14,original_band,twice_or_more_weekly,"weekday_night,sunday",in_person_mainly,Osaka周辺でfunk、blues系の音楽を一緒にできるメンバーを探しています。担当はkeyboardです。
56,Ren56,38,Kyoto,bass,"pop,jazz,citypop",beginner,17,hobby,biweekly,flexible,voice_call_ok,Kyotoでバンド活動をしたいです。bass担当で、pop、jazz、citypopを中心に演奏しています。
57,Rina57,19,Kyoto,bass,"metal,folk,rock",advanced,7,original_band,biweekly,"weekday_night,sunday",chat_mainly,bassとして活動しています。metal、folk、rockが好きで、original_band目的の活動に興味があります。
58,Kou58,44,Kyoto,vocal,jazz,intermediate,19,professional,weekly,"weekday_night,saturday",in_person_mainly,weeklyくらいのペースで無理なく活動したいです。jazzが好きな方とつながりたいです。
59,Shun59,26,Tokyo,keyboard,"folk,pop",advanced,1,cover_band,weekly,"weekday_night,flexible",chat_mainly,Tokyo周辺でfolk、pop系の音楽を一緒にできるメンバーを探しています。担当はkeyboardです。
60,Kou60,36,Osaka,violin,folk,advanced,20,cover_band,weekly,flexible,in_person_mainly,Osakaでバンド活動をしたいです。violin担当で、folkを中心に演奏しています。
61,Yuki61,33,Kobe,drums,"anime,pop",beginner,10,cover_band,twice_or_more_weekly,"flexible,sunday",chat_mainly,Kobeでバンド活動をしたいです。drums担当で、anime、popを中心に演奏しています。
62,Yuki62,28,Kobe,bass,blues,advanced,0,professional,twice_or_more_weekly,"weekday_night,flexible",in_person_mainly,twice_or_more_weeklyくらいのペースで無理なく活動したいです。bluesが好きな方とつながりたいです。
63,Saki63,42,Nara,sax,"rock,funk",intermediate,17,live_performance,weekly,"flexible,weekday_night",chat_mainly,saxとして活動しています。rock、funkが好きで、live_performance目的の活動に興味があります。
64,Mio64,27,Tokyo,vocal,"blues,pop,folk",beginner,14,hobby,biweekly,"sunday,flexible",in_person_mainly,biweeklyくらいのペースで無理なく活動したいです。blues、pop、folkが好きな方とつながりたいです。
65,Mei65,44,Nara,drums,folk,advanced,4,cover_band,biweekly,weekday_night,voice_call_ok,Naraでバンド活動をしたいです。drums担当で、folkを中心に演奏しています。
66,Taku66,43,Tokyo,bass,metal,advanced,9,professional,twice_or_more_weekly,flexible,in_person_mainly,Tokyoでバンド活動をしたいです。bass担当で、metalを中心に演奏しています。
67,Aya67,28,Tokyo,violin,"blues,folk,jazz",beginner,7,professional,twice_or_more_weekly,flexible,chat_mainly,twice_or_more_weeklyくらいのペースで無理なく活動したいです。blues、folk、jazzが好きな方とつながりたいです。
68,Kana68,40,Fukuoka,drums,"jazz,folk",beginner,4,professional,weekly,flexible,chat_mainly,Fukuokaでバンド活動をしたいです。drums担当で、jazz、folkを中心に演奏しています。
69,Aki69,41,Kyoto,drums,"jazz,pop,funk",intermediate,10,professional,twice_or_more_weekly,sunday,in_person_mainly,Kyotoでバンド活動をしたいです。drums担当で、jazz、pop、funkを中心に演奏しています。
70,Taku70,38,Nagoya,violin,"citypop,rock",advanced,2,live_performance,weekly,weekday_night,voice_call_ok,Nagoya周辺でcitypop、rock系の音楽を一緒にできるメンバーを探しています。担当はviolinです。
71,Sora71,32,Kyoto,sax,"rock,citypop",intermediate,1,original_band,weekly,"flexible,weekday_night",chat_mainly,Kyotoでバンド活動をしたいです。sax担当で、rock、citypopを中心に演奏しています。
72,Kenta72,39,Fukuoka,guitar,jazz,beginner,19,cover_band,biweekly,"saturday,weekday_night",voice_call_ok,biweeklyくらいのペースで無理なく活動したいです。jazzが好きな方とつながりたいです。
73,Daichi73,26,Nagoya,vocal,"metal,jazz",beginner,14,original_band,weekly,"sunday,saturday",voice_call_ok,vocalとして活動しています。metal、jazzが好きで、original_band目的の活動に興味があります。
74,Shun74,45,Nara,vocal,blues,advanced,11,professional,weekly,"weekday_night,sunday",voice_call_ok,weeklyくらいのペースで無理なく活動したいです。bluesが好きな方とつながりたいです。
75,Aki75,36,Fukuoka,sax,"rock,folk,blues",intermediate,7,professional,weekly,saturday,in_person_mainly,weeklyくらいのペースで無理なく活動したいです。rock、folk、bluesが好きな方とつながりたいです。
76,Haru76,38,Osaka,sax,"rock,metal,blues",intermediate,1,professional,weekly,weekday_night,voice_call_ok,weeklyくらいのペースで無理なく活動したいです。rock、metal、bluesが好きな方とつながりたいです。
77,Mei77,23,Kyoto,guitar,"anime,metal,blues",beginner,8,cover_band,weekly,"weekday_night,saturday",chat_mainly,guitarとして活動しています。anime、metal、bluesが好きで、cover_band目的の活動に興味があります。
78,Nao78,45,Nagoya,sax,"blues,anime,rock",intermediate,0,original_band,monthly,"sunday,flexible",in_person_mainly,monthlyくらいのペースで無理なく活動したいです。blues、anime、rockが好きな方とつながりたいです。
79,Kenta79,30,Fukuoka,sax,"pop,funk",intermediate,0,professional,weekly,weekday_night,in_person_mainly,Fukuokaでバンド活動をしたいです。sax担当で、pop、funkを中心に演奏しています。
80,Rina80,38,Nara,vocal,rock,beginner,9,cover_band,monthly,saturday,in_person_mainly,vocalとして活動しています。rockが好きで、cover_band目的の活動に興味があります。
81,Shun81,32,Kobe,sax,"citypop,blues,metal",advanced,4,cover_band,monthly,"flexible,saturday",chat_mainly,monthlyくらいのペースで無理なく活動したいです。citypop、blues、metalが好きな方とつながりたいです。
82,Ren82,32,Nara,guitar,"pop,anime",advanced,20,original_band,monthly,"sunday,weekday_night",chat_mainly,Naraでバンド活動をしたいです。guitar担当で、pop、animeを中心に演奏しています。
83,Yuki83,39,Kyoto,sax,"rock,citypop,blues",intermediate,7,live_performance,biweekly,saturday,in_person_mainly,saxとして活動しています。rock、citypop、bluesが好きで、live_performance目的の活動に興味があります。
84,Nao84,28,Fukuoka,guitar,"rock,metal,blues",beginner,4,professional,weekly,weekday_night,in_person_mainly,Fukuoka周辺でrock、metal、blues系の音楽を一緒にできるメンバーを探しています。担当はguitarです。
85,Haru85,18,Kobe,violin,anime,beginner,5,original_band,monthly,flexible,in_person_mainly,Kobe周辺でanime系の音楽を一緒にできるメンバーを探しています。担当はviolinです。
86,Yuki86,33,Nara,violin,"citypop,pop",intermediate,16,live_performance,monthly,"flexible,sunday",chat_mainly,Nara周辺でcitypop、pop系の音楽を一緒にできるメンバーを探しています。担当はviolinです。
87,Kana87,45,Nara,drums,"pop,folk,anime",intermediate,2,hobby,weekly,weekday_night,chat_mainly,weeklyくらいのペースで無理なく活動したいです。pop、folk、animeが好きな方とつながりたいです。
88,Saki88,38,Tokyo,keyboard,"anime,blues,metal",advanced,9,cover_band,twice_or_more_weekly,weekday_night,in_person_mainly,keyboardとして活動しています。anime、blues、metalが好きで、cover_band目的の活動に興味があります。
89,Mei89,32,Kyoto,drums,"folk,blues",intermediate,3,original_band,twice_or_more_weekly,"sunday,saturday",chat_mainly,Kyotoでバンド活動をしたいです。drums担当で、folk、bluesを中心に演奏しています。
90,Yuki90,20,Fukuoka,vocal,blues,beginner,11,live_performance,monthly,"weekday_night,saturday",voice_call_ok,Fukuokaでバンド活動をしたいです。vocal担当で、bluesを中心に演奏しています。
91,Ryo91,27,Tokyo,bass,"pop,funk",beginner,15,live_performance,monthly,"sunday,weekday_night",voice_call_ok,bassとして活動しています。pop、funkが好きで、live_performance目的の活動に興味があります。
92,Mei92,45,Tokyo,violin,"citypop,rock,metal",advanced,8,hobby,biweekly,"sunday,saturday",voice_call_ok,Tokyo周辺でcitypop、rock、metal系の音楽を一緒にできるメンバーを探しています。担当はviolinです。
93,Mio93,45,Kyoto,keyboard,"blues,pop,folk",advanced,20,hobby,monthly,flexible,voice_call_ok,Kyotoでバンド活動をしたいです。keyboard担当で、blues、pop、folkを中心に演奏しています。
94,Taku94,23,Kobe,bass,"anime,pop,rock",beginner,5,professional,monthly,sunday,voice_call_ok,Kobeでバンド活動をしたいです。bass担当で、anime、pop、rockを中心に演奏しています。
95,Kana95,37,Nara,drums,"funk,pop",intermediate,13,hobby,weekly,"sunday,weekday_night",chat_mainly,Naraでバンド活動をしたいです。drums担当で、funk、popを中心に演奏しています。
96,Saki96,19,Osaka,guitar,"funk,jazz",intermediate,9,original_band,monthly,flexible,in_person_mainly,Osakaでバンド活動をしたいです。guitar担当で、funk、jazzを中心に演奏しています。
97,Mio97,22,Nara,keyboard,"funk,anime,rock",intermediate,1,cover_band,monthly,"weekday_night,saturday",in_person_mainly,Naraでバンド活動をしたいです。keyboard担当で、funk、anime、rockを中心に演奏しています。
98,Kenta98,30,Nagoya,sax,"metal,pop",intermediate,0,original_band,biweekly,"sunday,weekday_night",voice_call_ok,Nagoya周辺でmetal、pop系の音楽を一緒にできるメンバーを探しています。担当はsaxです。
99,Nao99,31,Tokyo,drums,"pop,blues,folk",intermediate,10,live_performance,weekly,weekday_night,in_person_mainly,Tokyo周辺でpop、blues、folk系の音楽を一緒にできるメンバーを探しています。担当はdrumsです。
100,Yu100,34,Kyoto,violin,"anime,jazz",beginner,3,live_performance,weekly,saturday,in_person_mainly,violinとして活動しています。anime、jazzが好きで、live_performance目的の活動に興味があります。
101,Yuki101,23,Fukuoka,sax,"folk,citypop",advanced,18,professional,weekly,"saturday,flexible",chat_mainly,Fukuokaでバンド活動をしたいです。sax担当で、folk、citypopを中心に演奏しています。
102,Daichi102,38,Kobe,violin,"rock,anime",advanced,2,original_band,twice_or_more_weekly,"weekday_night,flexible",voice_call_ok,twice_or_more_weeklyくらいのペースで無理なく活動したいです。rock、animeが好きな方とつながりたいです。
103,Yuki103,38,Fukuoka,violin,citypop,intermediate,14,professional,monthly,"saturday,flexible",in_person_mainly,Fukuokaでバンド活動をしたいです。violin担当で、citypopを中心に演奏しています。
104,Yu104,22,Osaka,drums,anime,advanced,2,professional,biweekly,saturday,in_person_mainly,Osakaでバンド活動をしたいです。drums担当で、animeを中心に演奏しています。
105,Daichi105,34,Tokyo,keyboard,anime,intermediate,9,cover_band,twice_or_more_weekly,"weekday_night,sunday",in_person_mainly,twice_or_more_weeklyくらいのペースで無理なく活動したいです。animeが好きな方とつながりたいです。
106,Yuki106,28,Osaka,keyboard,"blues,metal,jazz",advanced,19,live_performance,weekly,saturday,voice_call_ok,weeklyくらいのペースで無理なく活動したいです。blues、metal、jazzが好きな方とつながりたいです。
107,Shun107,22,Tokyo,sax,metal,advanced,12,original_band,biweekly,flexible,in_person_mainly,biweeklyくらいのペースで無理なく活動したいです。metalが好きな方とつながりたいです。
108,Aki108,29,Kobe,guitar,anime,intermediate,6,live_performance,biweekly,weekday_night,voice_call_ok,Kobe周辺でanime系の音楽を一緒にできるメンバーを探しています。担当はguitarです。
109,Yu109,42,Tokyo,violin,"citypop,rock,anime",intermediate,19,live_performance,twice_or_more_weekly,saturday,chat_mainly,violinとして活動しています。citypop、rock、animeが好きで、live_performance目的の活動に興味があります。
110,Daichi110,19,Nara,bass,"funk,folk,metal",intermediate,14,live_performance,biweekly,"flexible,weekday_night",voice_call_ok,Naraでバンド活動をしたいです。bass担当で、funk、folk、metalを中心に演奏しています。
111,Daichi111,42,Kobe,violin,"citypop,blues",beginner,6,professional,biweekly,"weekday_night,sunday",voice_call_ok,biweeklyくらいのペースで無理なく活動したいです。citypop、bluesが好きな方とつながりたいです。
112,Noa112,21,Nagoya,violin,"pop,metal,rock",beginner,8,cover_band,biweekly,"weekday_night,flexible",voice_call_ok,biweeklyくらいのペースで無理なく活動したいです。pop、metal、rockが好きな方とつながりたいです。
113,Aki113,31,Osaka,drums,"anime,funk,folk",beginner,11,live_performance,monthly,"weekday_night,sunday",in_person_mainly,monthlyくらいのペースで無理なく活動したいです。anime、funk、folkが好きな方とつながりたいです。
114,Haru114,22,Osaka,bass,"jazz,folk",intermediate,19,hobby,monthly,sunday,chat_mainly,bassとして活動しています。jazz、folkが好きで、hobby目的の活動に興味があります。
115,Noa115,41,Tokyo,keyboard,"pop,metal",beginner,9,hobby,monthly,flexible,in_person_mainly,Tokyoでバンド活動をしたいです。keyboard担当で、pop、metalを中心に演奏しています。
116,Yuki116,21,Fukuoka,drums,"citypop,rock,anime",advanced,18,live_performance,biweekly,"flexible,weekday_night",in_person_mainly,biweeklyくらいのペースで無理なく活動したいです。citypop、rock、animeが好きな方とつながりたいです。
117,Nao117,36,Nara,guitar,"pop,anime,rock",advanced,17,professional,monthly,"flexible,weekday_night",in_person_mainly,Naraでバンド活動をしたいです。guitar担当で、pop、anime、rockを中心に演奏しています。
118,Aya118,26,Nagoya,vocal,"pop,anime",beginner,20,hobby,weekly,weekday_night,voice_call_ok,weeklyくらいのペースで無理なく活動したいです。pop、animeが好きな方とつながりたいです。
119,Mio119,44,Fukuoka,sax,"folk,jazz",beginner,2,cover_band,monthly,"saturday,weekday_night",chat_mainly,Fukuoka周辺でfolk、jazz系の音楽を一緒にできるメンバーを探しています。担当はsaxです。
120,Taku120,27,Tokyo,drums,"folk,metal,rock",advanced,6,original_band,weekly,sunday,voice_call_ok,Tokyo周辺でfolk、metal、rock系の音楽を一緒にできるメンバーを探しています。担当はdrumsです。
121,Aya121,31,Nara,sax,"blues,anime",beginner,15,cover_band,weekly,"weekday_night,sunday",voice_call_ok,Nara周辺でblues、anime系の音楽を一緒にできるメンバーを探しています。担当はsaxです。
122,Mei122,37,Fukuoka,guitar,"metal,anime,rock",beginner,10,original_band,weekly,"flexible,weekday_night",in_person_mainly,Fukuokaでバンド活動をしたいです。guitar担当で、metal、anime、rockを中心に演奏しています。
123,Aya123,32,Osaka,sax,"blues,metal",advanced,1,hobby,twice_or_more_weekly,"saturday,weekday_night",chat_mainly,Osakaでバンド活動をしたいです。sax担当で、blues、metalを中心に演奏しています。
124,Ryo124,22,Osaka,guitar,"anime,citypop,funk",advanced,1,professional,biweekly,"sunday,saturday",voice_call_ok,Osaka周辺でanime、citypop、funk系の音楽を一緒にできるメンバーを探しています。担当はguitarです。
125,Kenta125,22,Tokyo,bass,"anime,metal",beginner,3,hobby,biweekly,"flexible,sunday",chat_mainly,biweeklyくらいのペースで無理なく活動したいです。anime、metalが好きな方とつながりたいです。
126,Kou126,40,Nara,guitar,"metal,folk,pop",beginner,4,hobby,twice_or_more_weekly,flexible,chat_mainly,twice_or_more_weeklyくらいのペースで無理なく活動したいです。metal、folk、popが好きな方とつながりたいです。
127,Aya127,40,Osaka,keyboard,"metal,citypop,blues",beginner,20,live_performance,weekly,weekday_night,chat_mainly,keyboardとして活動しています。metal、citypop、bluesが好きで、live_performance目的の活動に興味があります。
128,Nao128,43,Nara,vocal,"citypop,anime",intermediate,17,live_performance,monthly,sunday,voice_call_ok,Naraでバンド活動をしたいです。vocal担当で、citypop、animeを中心に演奏しています。
129,Yu129,31,Fukuoka,drums,"pop,jazz,folk",advanced,2,cover_band,twice_or_more_weekly,"saturday,sunday",in_person_mainly,drumsとして活動しています。pop、jazz、folkが好きで、cover_band目的の活動に興味があります。
130,Haru130,31,Tokyo,violin,pop,advanced,4,original_band,biweekly,sunday,in_person_mainly,violinとして活動しています。popが好きで、original_band目的の活動に興味があります。
131,Aya131,34,Kobe,violin,metal,beginner,20,professional,weekly,sunday,in_person_mainly,Kobe周辺でmetal系の音楽を一緒にできるメンバーを探しています。担当はviolinです。
132,Yu132,38,Kyoto,keyboard,"jazz,citypop,anime",advanced,19,original_band,monthly,weekday_night,chat_mainly,monthlyくらいのペースで無理なく活動したいです。jazz、citypop、animeが好きな方とつながりたいです。
133,Ren133,42,Tokyo,drums,"rock,folk,anime",advanced,9,original_band,twice_or_more_weekly,flexible,voice_call_ok,Tokyoでバンド活動をしたいです。drums担当で、rock、folk、animeを中心に演奏しています。
134,Yuki134,40,Osaka,guitar,"blues,folk",intermediate,6,original_band,biweekly,"sunday,flexible",voice_call_ok,Osakaでバンド活動をしたいです。guitar担当で、blues、folkを中心に演奏しています。
135,Haru135,42,Kobe,keyboard,"pop,anime,citypop",intermediate,3,original_band,twice_or_more_weekly,saturday,chat_mainly,Kobe周辺でpop、anime、citypop系の音楽を一緒にできるメンバーを探しています。担当はkeyboardです。
136,Rina136,30,Fukuoka,keyboard,"funk,jazz",intermediate,18,original_band,biweekly,flexible,in_person_mainly,Fukuokaでバンド活動をしたいです。keyboard担当で、funk、jazzを中心に演奏しています。
137,Kana137,27,Nara,vocal,blues,advanced,14,live_performance,biweekly,"weekday_night,flexible",voice_call_ok,Naraでバンド活動をしたいです。vocal担当で、bluesを中心に演奏しています。
138,Saki138,44,Nagoya,sax,"metal,rock",beginner,13,live_performance,weekly,"flexible,saturday",chat_mainly,Nagoyaでバンド活動をしたいです。sax担当で、metal、rockを中心に演奏しています。
139,Ryo139,36,Tokyo,guitar,"citypop,metal",beginner,12,professional,twice_or_more_weekly,"weekday_night,flexible",chat_mainly,Tokyoでバンド活動をしたいです。guitar担当で、citypop、metalを中心に演奏しています。
140,Aya140,43,Kobe,keyboard,"jazz,funk",advanced,16,cover_band,monthly,weekday_night,chat_mainly,monthlyくらいのペースで無理なく活動したいです。jazz、funkが好きな方とつながりたいです。
141,Kana141,34,Nara,guitar,"citypop,jazz,folk",advanced,10,live_performance,twice_or_more_weekly,"sunday,flexible",in_person_mainly,Naraでバンド活動をしたいです。guitar担当で、citypop、jazz、folkを中心に演奏しています。
